,customer_id,customer_location
1900-01-01 08:00:00,1,entry
1900-01-01 08:00:00,2,entry
1900-01-01 08:00:00,3,entry
1900-01-01 08:00:00,4,entry
1900-01-01 08:00:00,5,entry
1900-01-01 08:00:00,6,entry
1900-01-01 08:00:00,7,entry
1900-01-01 08:00:00,8,entry
1900-01-01 08:00:00,9,entry
1900-01-01 08:00:00,10,entry
1900-01-01 08:01:00,1,fruit
1900-01-01 08:01:00,2,drinks
1900-01-01 08:01:00,3,drinks
1900-01-01 08:01:00,4,dairy
1900-01-01 08:01:00,5,fruit
1900-01-01 08:01:00,6,fruit
1900-01-01 08:01:00,7,drinks
1900-01-01 08:01:00,8,dairy
1900-01-01 08:01:00,9,fruit
1900-01-01 08:01:00,10,drinks
1900-01-01 08:02:00,1,fruit
1900-01-01 08:02:00,2,drinks
1900-01-01 08:02:00,3,drinks
1900-01-01 08:02:00,4,dairy
1900-01-01 08:02:00,5,spices
1900-01-01 08:02:00,6,spices
1900-01-01 08:02:00,7,drinks
1900-01-01 08:02:00,8,dairy
1900-01-01 08:02:00,9,fruit
1900-01-01 08:02:00,10,checkout
1900-01-01 08:03:00,1,dairy
1900-01-01 08:03:00,2,drinks
1900-01-01 08:03:00,3,fruit
1900-01-01 08:03:00,4,dairy
1900-01-01 08:03:00,5,dairy
1900-01-01 08:03:00,6,dairy
1900-01-01 08:03:00,7,checkout
1900-01-01 08:03:00,8,dairy
1900-01-01 08:03:00,9,checkout
1900-01-01 08:03:00,11,entry
1900-01-01 08:04:00,1,dairy
1900-01-01 08:04:00,2,checkout
1900-01-01 08:04:00,3,drinks
1900-01-01 08:04:00,4,dairy
1900-01-01 08:04:00,5,dairy
1900-01-01 08:04:00,6,dairy
1900-01-01 08:04:00,8,dairy
1900-01-01 08:04:00,11,dairy
1900-01-01 08:04:00,12,entry
1900-01-01 08:04:00,13,entry
1900-01-01 08:05:00,1,dairy
1900-01-01 08:05:00,3,checkout
1900-01-01 08:05:00,4,dairy
1900-01-01 08:05:00,5,spices
1900-01-01 08:05:00,6,dairy
1900-01-01 08:05:00,8,dairy
1900-01-01 08:05:00,11,dairy
1900-01-01 08:05:00,12,dairy
1900-01-01 08:05:00,13,fruit
1900-01-01 08:05:00,14,entry
1900-01-01 08:06:00,1,dairy
1900-01-01 08:06:00,4,dairy
1900-01-01 08:06:00,5,checkout
1900-01-01 08:06:00,6,fruit
1900-01-01 08:06:00,8,spices
1900-01-01 08:06:00,11,dairy
1900-01-01 08:06:00,12,dairy
1900-01-01 08:06:00,13,fruit
1900-01-01 08:06:00,14,dairy
1900-01-01 08:06:00,15,entry
1900-01-01 08:07:00,1,dairy
1900-01-01 08:07:00,4,dairy
1900-01-01 08:07:00,6,fruit
1900-01-01 08:07:00,8,dairy
1900-01-01 08:07:00,11,dairy
1900-01-01 08:07:00,12,drinks
1900-01-01 08:07:00,13,checkout
1900-01-01 08:07:00,14,dairy
1900-01-01 08:07:00,15,fruit
1900-01-01 08:07:00,16,entry
1900-01-01 08:08:00,1,fruit
1900-01-01 08:08:00,4,dairy
1900-01-01 08:08:00,6,fruit
1900-01-01 08:08:00,8,dairy
1900-01-01 08:08:00,11,spices
1900-01-01 08:08:00,12,drinks
1900-01-01 08:08:00,14,drinks
1900-01-01 08:08:00,15,drinks
1900-01-01 08:08:00,16,spices
1900-01-01 08:08:00,17,entry
1900-01-01 08:09:00,1,drinks
1900-01-01 08:09:00,4,dairy
1900-01-01 08:09:00,6,fruit
1900-01-01 08:09:00,8,dairy
1900-01-01 08:09:00,11,drinks
1900-01-01 08:09:00,12,drinks
1900-01-01 08:09:00,14,drinks
1900-01-01 08:09:00,15,fruit
1900-01-01 08:09:00,16,drinks
1900-01-01 08:09:00,17,dairy
1900-01-01 08:10:00,1,checkout
1900-01-01 08:10:00,4,dairy
1900-01-01 08:10:00,6,dairy
1900-01-01 08:10:00,8,drinks
1900-01-01 08:10:00,11,spices
1900-01-01 08:10:00,12,drinks
1900-01-01 08:10:00,14,spices
1900-01-01 08:10:00,15,fruit
1900-01-01 08:10:00,16,drinks
1900-01-01 08:10:00,17,drinks
1900-01-01 08:11:00,4,dairy
1900-01-01 08:11:00,6,dairy
1900-01-01 08:11:00,8,checkout
1900-01-01 08:11:00,11,spices
1900-01-01 08:11:00,12,drinks
1900-01-01 08:11:00,14,dairy
1900-01-01 08:11:00,15,dairy
1900-01-01 08:11:00,16,drinks
1900-01-01 08:11:00,17,checkout
1900-01-01 08:11:00,18,entry
1900-01-01 08:12:00,4,dairy
1900-01-01 08:12:00,6,fruit
1900-01-01 08:12:00,11,drinks
1900-01-01 08:12:00,12,checkout
1900-01-01 08:12:00,14,dairy
1900-01-01 08:12:00,15,dairy
1900-01-01 08:12:00,16,fruit
1900-01-01 08:12:00,18,fruit
1900-01-01 08:12:00,19,entry
1900-01-01 08:12:00,20,entry
1900-01-01 08:13:00,4,dairy
1900-01-01 08:13:00,6,dairy
1900-01-01 08:13:00,11,spices
1900-01-01 08:13:00,14,checkout
1900-01-01 08:13:00,15,dairy
1900-01-01 08:13:00,16,fruit
1900-01-01 08:13:00,18,fruit
1900-01-01 08:13:00,19,dairy
1900-01-01 08:13:00,20,fruit
1900-01-01 08:13:00,21,entry
1900-01-01 08:14:00,4,dairy
1900-01-01 08:14:00,6,dairy
1900-01-01 08:14:00,11,spices
1900-01-01 08:14:00,15,dairy
1900-01-01 08:14:00,16,drinks
1900-01-01 08:14:00,18,fruit
1900-01-01 08:14:00,19,dairy
1900-01-01 08:14:00,20,fruit
1900-01-01 08:14:00,21,dairy
1900-01-01 08:14:00,22,entry
1900-01-01 08:15:00,4,dairy
1900-01-01 08:15:00,6,spices
1900-01-01 08:15:00,11,dairy
1900-01-01 08:15:00,15,dairy
1900-01-01 08:15:00,16,drinks
1900-01-01 08:15:00,18,fruit
1900-01-01 08:15:00,19,checkout
1900-01-01 08:15:00,20,fruit
